response_id,condition,duration_in_seconds,recorded_date,participant_code,participant_number,what_is_your_gender,how_old_are_you,are_you_an_american_citizen,political_views,what_is_your_native_language,full_item_info,data_type,rating_type,phase,fact_or_myth,retrieval_practice,item_code,item_category,raw_rating
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_myth_rpneg_n1,raw,accuracy,p1,myth,rpneg,n1,n,5
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_myth_rpneg_n2,raw,accuracy,p1,myth,rpneg,n2,n,4
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_fact_rpneg_n3,raw,accuracy,p1,fact,rpneg,n3,n,5
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_fact_rpneg_n4,raw,accuracy,p1,fact,rpneg,n4,n,5
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_fact_rppos_n5,raw,accuracy,p1,fact,rppos,n5,n,5
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_fact_rppos_n6,raw,accuracy,p1,fact,rppos,n6,n,4
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_myth_rpneg_a1,raw,accuracy,p1,myth,rpneg,a1,a,3
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_myth_rpneg_a2,raw,accuracy,p1,myth,rpneg,a2,a,5
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_fact_rpneg_a3,raw,accuracy,p1,fact,rpneg,a3,a,5
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_fact_rpneg_a4,raw,accuracy,p1,fact,rpneg,a4,a,5
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_fact_rppos_a5,raw,accuracy,p1,fact,rppos,a5,a,4
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_fact_rppos_a6,raw,accuracy,p1,fact,rppos,a6,a,3
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_myth_rpneg_v1,raw,accuracy,p1,myth,rpneg,v1,v,3
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_myth_rpneg_v2,raw,accuracy,p1,myth,rpneg,v2,v,4
R_2tmcEPkW4ui95fC,1,2396,2017-04-28T13:46:41Z,COL-02-09,P6,Female,23,Yes,2,English,raw_accuracy_p1_fact_rppos_v3,raw,accuracy,p1,fact,rppos,v3,v,3
