response_id,condition,network,full_rs_info,measure_type,retrieval_practice,rs_level,rs_level_num,belief_change,belief_increase,retrieval_practice_positive,missing_data
R_20St3jyXnZsDPWu,1,1,rs_all_neg4,rs,all,neg4,-4,,,,1
R_20St3jyXnZsDPWu,1,1,rs_all_neg3,rs,all,neg3,-3,-0.0639420519724004,0,,0
R_20St3jyXnZsDPWu,1,1,rs_all_neg2,rs,all,neg2,-2,,,,1
R_20St3jyXnZsDPWu,1,1,rs_all_neg1,rs,all,neg1,-1,-0.0811781563591831,0,,0
R_20St3jyXnZsDPWu,1,1,rs_all_zero,rs,all,zero,0,,,,1
R_20St3jyXnZsDPWu,1,1,rs_all_pos1,rs,all,pos1,1,0.308572160686655,1,,0
R_20St3jyXnZsDPWu,1,1,rs_all_pos2,rs,all,pos2,2,,,,1
R_20St3jyXnZsDPWu,1,1,rs_all_pos3,rs,all,pos3,3,-0.133045080389132,0,,0
R_20St3jyXnZsDPWu,1,1,rs_all_pos4,rs,all,pos4,4,,,,1
R_20St3jyXnZsDPWu,1,1,rs_rppos_neg4,rs,rppos,neg4,-4,,,1,1
R_20St3jyXnZsDPWu,1,1,rs_rppos_neg3,rs,rppos,neg3,-3,0.483691167840838,1,1,0
R_20St3jyXnZsDPWu,1,1,rs_rppos_neg2,rs,rppos,neg2,-2,,,1,1
R_20St3jyXnZsDPWu,1,1,rs_rppos_neg1,rs,rppos,neg1,-1,0.375400755738727,1,1,0
R_20St3jyXnZsDPWu,1,1,rs_rppos_zero,rs,rppos,zero,0,,,1,1
R_20St3jyXnZsDPWu,1,1,rs_rppos_pos1,rs,rppos,pos1,1,0.558975355560254,1,1,0
R_20St3jyXnZsDPWu,1,1,rs_rppos_pos2,rs,rppos,pos2,2,,,1,1
R_20St3jyXnZsDPWu,1,1,rs_rppos_pos3,rs,rppos,pos3,3,-0.391903867930075,0,1,0
R_20St3jyXnZsDPWu,1,1,rs_rppos_pos4,rs,rppos,pos4,4,,,1,1
R_20St3jyXnZsDPWu,1,1,rs_rpneg_neg4,rs,rpneg,neg4,-4,,,0,1
R_20St3jyXnZsDPWu,1,1,rs_rpneg_neg3,rs,rpneg,neg3,-3,-0.132396204449055,0,0,0
R_20St3jyXnZsDPWu,1,1,rs_rpneg_neg2,rs,rpneg,neg2,-2,,,0,1
R_20St3jyXnZsDPWu,1,1,rs_rpneg_neg1,rs,rpneg,neg1,-1,-0.423612340432616,0,0,0
R_20St3jyXnZsDPWu,1,1,rs_rpneg_zero,rs,rpneg,zero,0,,,0,1
R_20St3jyXnZsDPWu,1,1,rs_rpneg_pos1,rs,rpneg,pos1,1,-0.0670326316237424,0,0,0
R_20St3jyXnZsDPWu,1,1,rs_rpneg_pos2,rs,rpneg,pos2,2,,,0,1
R_20St3jyXnZsDPWu,1,1,rs_rpneg_pos3,rs,rpneg,pos3,3,-0.00361568661866093,0,0,0
R_20St3jyXnZsDPWu,1,1,rs_rpneg_pos4,rs,rpneg,pos4,4,,,0,1
R_3D8zGigntuHpGY6,1,1,rs_all_neg4,rs,all,neg4,-4,,,,1
R_3D8zGigntuHpGY6,1,1,rs_all_neg3,rs,all,neg3,-3,-0.264372629530159,0,,0
R_3D8zGigntuHpGY6,1,1,rs_all_neg2,rs,all,neg2,-2,,,,1
R_3D8zGigntuHpGY6,1,1,rs_all_neg1,rs,all,neg1,-1,0.153505293570726,1,,0
R_3D8zGigntuHpGY6,1,1,rs_all_zero,rs,all,zero,0,,,,1
R_3D8zGigntuHpGY6,1,1,rs_all_pos1,rs,all,pos1,1,-0.353705154704083,0,,0
R_3D8zGigntuHpGY6,1,1,rs_all_pos2,rs,all,pos2,2,,,,1
R_3D8zGigntuHpGY6,1,1,rs_all_pos3,rs,all,pos3,3,0.0214915799351564,1,,0
R_3D8zGigntuHpGY6,1,1,rs_all_pos4,rs,all,pos4,4,,,,1
R_3D8zGigntuHpGY6,1,1,rs_rppos_neg4,rs,rppos,neg4,-4,,,1,1
R_3D8zGigntuHpGY6,1,1,rs_rppos_neg3,rs,rppos,neg3,-3,,,1,1
R_3D8zGigntuHpGY6,1,1,rs_rppos_neg2,rs,rppos,neg2,-2,,,1,1
R_3D8zGigntuHpGY6,1,1,rs_rppos_neg1,rs,rppos,neg1,-1,0.316289106372246,1,1,0
R_3D8zGigntuHpGY6,1,1,rs_rppos_zero,rs,rppos,zero,0,,,1,1
R_3D8zGigntuHpGY6,1,1,rs_rppos_pos1,rs,rppos,pos1,1,0.0334026692308542,1,1,0
R_3D8zGigntuHpGY6,1,1,rs_rppos_pos2,rs,rppos,pos2,2,,,1,1
R_3D8zGigntuHpGY6,1,1,rs_rppos_pos3,rs,rppos,pos3,3,0.0214915799351564,1,1,0
R_3D8zGigntuHpGY6,1,1,rs_rppos_pos4,rs,rppos,pos4,4,,,1,1
R_3D8zGigntuHpGY6,1,1,rs_rpneg_neg4,rs,rpneg,neg4,-4,,,0,1
R_3D8zGigntuHpGY6,1,1,rs_rpneg_neg3,rs,rpneg,neg3,-3,-0.264372629530159,0,0,0
R_3D8zGigntuHpGY6,1,1,rs_rpneg_neg2,rs,rpneg,neg2,-2,,,0,1
R_3D8zGigntuHpGY6,1,1,rs_rpneg_neg1,rs,rpneg,neg1,-1,0.0232782433295111,1,0,0
R_3D8zGigntuHpGY6,1,1,rs_rpneg_zero,rs,rpneg,zero,0,,,0,1
R_3D8zGigntuHpGY6,1,1,rs_rpneg_pos1,rs,rpneg,pos1,1,-0.547259066671551,0,0,0
R_3D8zGigntuHpGY6,1,1,rs_rpneg_pos2,rs,rpneg,pos2,2,,,0,1
R_3D8zGigntuHpGY6,1,1,rs_rpneg_pos3,rs,rpneg,pos3,3,,,0,1
R_3D8zGigntuHpGY6,1,1,rs_rpneg_pos4,rs,rpneg,pos4,4,,,0,1
R_296e4TXrmJH0w5C,1,1,rs_all_neg4,rs,all,neg4,-4,,,,1
R_296e4TXrmJH0w5C,1,1,rs_all_neg3,rs,all,neg3,-3,-0.506670586895707,0,,0
R_296e4TXrmJH0w5C,1,1,rs_all_neg2,rs,all,neg2,-2,,,,1
R_296e4TXrmJH0w5C,1,1,rs_all_neg1,rs,all,neg1,-1,0.0861978375639219,1,,0
R_296e4TXrmJH0w5C,1,1,rs_all_zero,rs,all,zero,0,,,,1
R_296e4TXrmJH0w5C,1,1,rs_all_pos1,rs,all,pos1,1,-0.0740949587833656,0,,0
R_296e4TXrmJH0w5C,1,1,rs_all_pos2,rs,all,pos2,2,,,,1
R_296e4TXrmJH0w5C,1,1,rs_all_pos3,rs,all,pos3,3,3.89959029577691,1,,0
R_296e4TXrmJH0w5C,1,1,rs_all_pos4,rs,all,pos4,4,,,,1
R_296e4TXrmJH0w5C,1,1,rs_rppos_neg4,rs,rppos,neg4,-4,,,1,1
R_296e4TXrmJH0w5C,1,1,rs_rppos_neg3,rs,rppos,neg3,-3,0.297118678183479,1,1,0
R_296e4TXrmJH0w5C,1,1,rs_rppos_neg2,rs,rppos,neg2,-2,,,1,1
R_296e4TXrmJH0w5C,1,1,rs_rppos_neg1,rs,rppos,neg1,-1,0.929881200042151,1,1,0
R_296e4TXrmJH0w5C,1,1,rs_rppos_zero,rs,rppos,zero,0,,,1,1
R_296e4TXrmJH0w5C,1,1,rs_rppos_pos1,rs,rppos,pos1,1,0.929881200042151,1,1,0
R_296e4TXrmJH0w5C,1,1,rs_rppos_pos2,rs,rppos,pos2,2,,,1,1
R_296e4TXrmJH0w5C,1,1,rs_rppos_pos3,rs,rppos,pos3,3,3.89959029577691,1,1,0
R_296e4TXrmJH0w5C,1,1,rs_rppos_pos4,rs,rppos,pos4,4,,,1,1
R_296e4TXrmJH0w5C,1,1,rs_rpneg_neg4,rs,rpneg,neg4,-4,,,0,1
R_296e4TXrmJH0w5C,1,1,rs_rpneg_neg3,rs,rpneg,neg3,-3,-0.685290423579971,0,0,0
R_296e4TXrmJH0w5C,1,1,rs_rpneg_neg2,rs,rpneg,neg2,-2,,,0,1
R_296e4TXrmJH0w5C,1,1,rs_rpneg_neg1,rs,rpneg,neg1,-1,-0.335643843675193,0,0,0
R_296e4TXrmJH0w5C,1,1,rs_rpneg_zero,rs,rpneg,zero,0,,,0,1
R_296e4TXrmJH0w5C,1,1,rs_rpneg_pos1,rs,rpneg,pos1,1,-1.07807111760888,0,0,0
R_296e4TXrmJH0w5C,1,1,rs_rpneg_pos2,rs,rpneg,pos2,2,,,0,1
R_296e4TXrmJH0w5C,1,1,rs_rpneg_pos3,rs,rpneg,pos3,3,,,0,1
R_296e4TXrmJH0w5C,1,1,rs_rpneg_pos4,rs,rpneg,pos4,4,,,0,1
R_1OJI6mrNoHobBc7,1,1,rs_all_neg4,rs,all,neg4,-4,0.0349699130757316,1,,0
R_1OJI6mrNoHobBc7,1,1,rs_all_neg3,rs,all,neg3,-3,,,,1
R_1OJI6mrNoHobBc7,1,1,rs_all_neg2,rs,all,neg2,-2,-0.351233804497101,0,,0
R_1OJI6mrNoHobBc7,1,1,rs_all_neg1,rs,all,neg1,-1,,,,1
R_1OJI6mrNoHobBc7,1,1,rs_all_zero,rs,all,zero,0,-0.593235487992929,0,,0
R_1OJI6mrNoHobBc7,1,1,rs_all_pos1,rs,all,pos1,1,,,,1
R_1OJI6mrNoHobBc7,1,1,rs_all_pos2,rs,all,pos2,2,0.349325135409334,1,,0
R_1OJI6mrNoHobBc7,1,1,rs_all_pos3,rs,all,pos3,3,,,,1
R_1OJI6mrNoHobBc7,1,1,rs_all_pos4,rs,all,pos4,4,0.133768538515046,1,,0
R_1OJI6mrNoHobBc7,1,1,rs_rppos_neg4,rs,rppos,neg4,-4,,,1,1
R_1OJI6mrNoHobBc7,1,1,rs_rppos_neg3,rs,rppos,neg3,-3,,,1,1
R_1OJI6mrNoHobBc7,1,1,rs_rppos_neg2,rs,rppos,neg2,-2,-0.0308958372171448,0,1,0
R_1OJI6mrNoHobBc7,1,1,rs_rppos_neg1,rs,rppos,neg1,-1,,,1,1
R_1OJI6mrNoHobBc7,1,1,rs_rppos_zero,rs,rppos,zero,0,,,1,1
R_1OJI6mrNoHobBc7,1,1,rs_rppos_pos1,rs,rppos,pos1,1,,,1,1
R_1OJI6mrNoHobBc7,1,1,rs_rppos_pos2,rs,rppos,pos2,2,0.21510175036065,1,1,0
R_1OJI6mrNoHobBc7,1,1,rs_rppos_pos3,rs,rppos,pos3,3,,,1,1
R_1OJI6mrNoHobBc7,1,1,rs_rppos_pos4,rs,rppos,pos4,4,0.133768538515046,1,1,0
R_1OJI6mrNoHobBc7,1,1,rs_rpneg_neg4,rs,rpneg,neg4,-4,0.0349699130757316,1,0,0
R_1OJI6mrNoHobBc7,1,1,rs_rpneg_neg3,rs,rpneg,neg3,-3,,,0,1
R_1OJI6mrNoHobBc7,1,1,rs_rpneg_neg2,rs,rpneg,neg2,-2,-0.458013126923753,0,0,0
R_1OJI6mrNoHobBc7,1,1,rs_rpneg_neg1,rs,rpneg,neg1,-1,,,0,1
R_1OJI6mrNoHobBc7,1,1,rs_rpneg_zero,rs,rpneg,zero,0,-0.593235487992929,0,0,0
