full_var_info,measure_type,retrieval_practice,change_direction,condition,prop,actual_net,actual_pair
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.5,a,pair_1
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.5,h,pair_463
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.25,a,pair_1
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.125,h,pair_463
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.06666666666666667,a,pair_1
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.07692307692307693,h,pair_463
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.3333333333333333,a,pair_1
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.5384615384615384,h,pair_463
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.625,a,pair_2
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.625,h,pair_464
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_2
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.125,h,pair_464
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.26666666666666666,a,pair_2
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.08333333333333333,h,pair_464
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.2,a,pair_2
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.25,h,pair_464
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.625,a,pair_3
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.5714285714285714,h,pair_465
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.125,a,pair_3
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.14285714285714285,h,pair_465
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.21428571428571427,a,pair_3
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.09090909090909091,h,pair_465
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.42857142857142855,a,pair_3
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.45454545454545453,h,pair_465
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.5,a,pair_4
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.42857142857142855,h,pair_466
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_4
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0,h,pair_466
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.2,a,pair_4
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.36363636363636365,h,pair_466
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.4,a,pair_4
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.2727272727272727,h,pair_466
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.875,a,pair_5
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.7142857142857143,h,pair_467
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_5
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.14285714285714285,h,pair_467
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.2857142857142857,a,pair_5
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.36363636363636365,h,pair_467
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.21428571428571427,a,pair_5
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.18181818181818182,h,pair_467
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.625,a,pair_6
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.625,h,pair_468
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_6
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0,h,pair_468
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.26666666666666666,a,pair_6
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.35714285714285715,h,pair_468
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.26666666666666666,a,pair_6
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.14285714285714285,h,pair_468
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.75,a,pair_7
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0,h,pair_469
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_7
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0,h,pair_469
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.23076923076923078,a,pair_7
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.2857142857142857,h,pair_469
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.5384615384615384,a,pair_7
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.2857142857142857,h,pair_469
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.75,a,pair_8
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.3333333333333333,h,pair_470
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_8
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.3333333333333333,h,pair_470
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0,a,pair_8
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.42857142857142855,h,pair_470
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.3333333333333333,a,pair_8
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.14285714285714285,h,pair_470
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.6,a,pair_9
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.16666666666666666,h,pair_471
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.2,a,pair_9
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.3333333333333333,h,pair_471
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0,a,pair_9
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.14285714285714285,h,pair_471
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.5833333333333334,a,pair_9
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.2857142857142857,h,pair_471
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.5,a,pair_10
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.2857142857142857,h,pair_472
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0.16666666666666666,a,pair_10
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.14285714285714285,h,pair_472
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.07692307692307693,a,pair_10
prop_rpneg_increasetog_control,prop,rpneg,increasetog,control,0.2,h,pair_472
prop_rpneg_decreasetog_practice,prop,rpneg,decreasetog,practice,0.6153846153846154,a,pair_10
prop_rpneg_decreasetog_control,prop,rpneg,decreasetog,control,0.1,h,pair_472
prop_rppos_increasetog_practice,prop,rppos,increasetog,practice,0.5,a,pair_11
prop_rppos_increasetog_control,prop,rppos,increasetog,control,0.42857142857142855,h,pair_473
prop_rppos_decreasetog_practice,prop,rppos,decreasetog,practice,0,a,pair_11
prop_rppos_decreasetog_control,prop,rppos,decreasetog,control,0.2857142857142857,h,pair_473
prop_rpneg_increasetog_practice,prop,rpneg,increasetog,practice,0.08333333333333333,a,pair_11
